Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
2,0.04,1,23,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,26,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,26,0,10000,0,10000,0,10000,0,1
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,24,0,10000,0,10000,0,10000,0,1
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,26,0,10000,0,10000,0,10000,0,1
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,24,0,10000,0,10000,0,10000,0,1
2,0.04,1,44,1,22,0.16770678,0.0055764,0.15735664,0.00528357,347.375,50159.8594,20,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,25,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,27,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,28,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,26,0,10000,0,10000,0,10000,0,1
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,25,0,10000,0,10000,0,10000,0,1
2,0.04,1,24,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,24,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,24,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,27,0,10000,0,10000,0,10000,0,1
2,0.04,1,24,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,25,0,10000,0,10000,0,10000,0,1
2,0.04,1,25,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,35,1,24,0.4634488,0.00119923,0.3906744,0.00140818,414,5474,9,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,25,0,10000,0,10000,0,10000,0,1
2,0.04,1,25,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,32,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,26,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,26,0,10000,0,10000,0,10000,0,1
2,0.04,1,26,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,25,0,10000,0,10000,0,10000,0,1
2,0.04,1,30,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,24,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
2,0.04,1,25,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
